,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8906,0.898,0.6818,0.3488,0.4615,0.4361
Decision Tree,0.8906,0.7895,0.5833,0.6512,0.6154,0.553
KNN,0.8844,0.8241,0.6,0.4186,0.4932,0.4391
Naive Bayes,0.85,0.8556,0.4615,0.6977,0.5556,0.4843
Random Forest,0.9312,0.9405,0.92,0.5349,0.6765,0.6706
XGBoost,0.9438,0.9312,0.8378,0.7209,0.775,0.7458
